seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
42,nacc_to_adni,metadata_xda,target,3T,complete,0.5879120879120879,0.5677655677655677,0.5888372093023256,0.46153846153846156,0.7142857142857143,0.6176470588235294,0.3375340971930369,0.33445778310391333,0.6222222222222222,0.1,34,34
42,nacc_to_adni,metadata_xda,target,unknown,complete,1.0,,0.5,,1.0,1.0,6.927284418385224e-12,2.682209014892578e-06,,,1,1
42,nacc_to_adni,metadata_xda,source_val,3T,complete,0.8596338273757629,0.9415867480383611,0.8523581681476418,0.7837837837837838,0.9354838709677419,0.90625,0.06963784099993275,0.03882990989627117,0.15037593984962416,0.8496240601503758,192,192
42,nacc_to_adni,metadata_xda,source_test,3T,complete,0.8789886660854402,0.9769834350479512,0.8951774340309373,0.7837837837837838,0.9741935483870968,0.9375,0.0442398667773348,0.028671290208068217,0.06666666666666676,0.9333333333333332,192,192
42,nacc_to_adni,apis_v2,target,1.5T,complete,0.8100907029478458,0.9111597019760285,0.7990711025175912,0.7222222222222222,0.8979591836734694,0.7991071428571429,0.16874936229115,0.14692026442766998,0.13770180436847113,0.8622981956315289,224,224
42,nacc_to_adni,apis_v2,target,3T,complete,0.7838827838827839,0.9084249084249084,0.7984189723320159,0.6153846153846154,0.9523809523809523,0.8235294117647058,0.14434930027215337,0.13996516591778,0.303030303030303,0.696969696969697,34,34
42,nacc_to_adni,apis_v2,target,unknown,complete,1.0,,0.5,,1.0,1.0,2.3706067080135e-08,0.00015395879745483398,,,1,1
42,nacc_to_adni,apis_v2,source_val,3T,complete,0.8693112467306016,0.937227550130776,0.873144518345593,0.7837837837837838,0.9548387096774194,0.921875,0.06730317277267585,0.053468182799406426,0.3142857142857143,0.6857142857142857,192,192
42,nacc_to_adni,apis_v2,source_test,3T,complete,0.8969485614646906,0.9632083696599826,0.8736842105263158,0.8648648648648649,0.9290322580645162,0.9166666666666666,0.07056820056178341,0.0683058726636874,0.05789473684210522,0.9421052631578948,192,192
43,adni_to_nacc,ce_only,target,3T,complete,0.8327290155872301,0.9078728015337167,0.808931729662993,0.7688172043010753,0.896640826873385,0.871875,0.10087109041212045,0.056234417268489094,0.08269272430817654,0.8762071992976295,960,960
